East,North,Lat,Lon,GW
583363.89,3865419.47,34.93041789,24.91440185,24
586577,3865829,34.9338405,24.94962135,21
583544.4,3866029.7,34.93590506,24.91643926,25
585172,3866277,34.93799906,24.93428466,6
577628.71,3866478.72,34.94042496,24.851711,2
581257.7,3866502.5,34.94035429,24.89144879,40
577075,3866528,34.94091164,24.84565269,4
577517.5,3866539.7,34.94098331,24.85049898,2.5
582423,3866554,34.94072434,24.9042132,110
577515.02,3866560.29,34.94116915,24.85047374,4
577016,3866569,34.94128582,24.84501045,5
577453,3866576,34.94131556,24.8497961,10
577540,3866596,34.94148922,24.85075059,2
576996.976,3866611.302,34.94166868,24.84480606,3
577580.11,3866612.55,34.94163537,24.85119132,2
576996.9,3866616,34.94171105,24.84480566,4
575862,3866619,34.94182388,24.83237906,18
577737,3866634,34.94181672,24.85291122,3
577603.59,3866636.89,34.94185303,24.85145069,4
577764.9,3866638.21,34.94185254,24.85321711,3
582227,3866643,34.94154275,24.9020759,25
577802.76,3866650,34.94195593,24.85363277,6.5
577733.44,3866677.11,34.9422057,24.85287626,3
577570.82,3866681.81,34.94226056,24.85109605,1
581742,3866711,34.94219519,24.89677205,32
577798.13,3866731.74,34.94269329,24.85358971,3
582200.61,3866749.47,34.94250487,24.90179745,10
577825,3866764,34.9429821,24.85388694,2
577773.9,3866769.1,34.94303201,24.85332788,2.5
577811,3866791,34.94322662,24.85373617,14
577814.8,3866805.43,34.94335644,24.85377913,3
583335,3866872,34.94351681,24.91423087,76
583335,3866872,34.94351681,24.91423087,1
577923.5,3866892,34.94412862,24.85497748,12
578318.1,3866917.08,34.94432427,24.85930072,120
577605.98,3866918.67,34.94439351,24.85150312,160
577820.35,3866950.39,34.94466304,24.85385345,10
582241.85,3866978.61,34.94456754,24.90227165,120
574209.873,3866986.284,34.94525813,24.81432133,1
577120.13,3867026.36,34.94540168,24.846193,6
581694.59,3867044.08,34.9452022,24.8962856,150
577868.3,3867108,34.94608044,24.85439325,3
574009,3867122,34.94649655,24.81213378,13
577189.52,3867129.02,34.94632202,24.84696236,3
581262,3867176,34.9464265,24.8915616,70
573253,3867205,34.94729999,24.80386253,76
583195,3867218,34.94664799,24.91273248,150
577888,3867233,34.94720598,24.85462066,15
577744,3867242,34.94729821,24.85304464,50
581883,3867349,34.94793624,24.89837869,110
577912.89,3867373.76,34.94847323,24.85490639,7.5
578247.26,3867393.73,34.94862746,24.85856982,100
578007,3867461,34.94925257,24.85594513,15
581896,3867539,34.9496483,24.89853973,90
574513,3867553,34.95034567,24.81769139,5
577404,3867596,34.95051614,24.84935441,5.5
577457.08,3867639.53,34.95090457,24.84993973,40
578360,3867677,34.95117283,24.85983106,120
578036.52,3867682.79,34.95125005,24.85628919,3
574769,3867719,34.95182352,24.82050974,55
582475,3867773,34.95171106,24.90490332,100
578141.69,3867801.59,34.95231309,24.85745205,5
578169.87,3867846.83,34.95271881,24.8577649,12
572575,3867906,34.95366955,24.79649916,5
574612,3867930,34.95373762,24.81880933,108
582227,3867974.23,34.95354562,24.90220738,60
578412,3868071,34.95472128,24.86043763,80
575269,3868104.4,34.95526139,24.82602017,80
581757,3868159,34.9552497,24.8970785,0.5
582642,3868172,34.95529495,24.90677174,74
582231.17,3868292.2,34.95641222,24.90228447,200
579349.79,3868371.24,34.95735519,24.87073636,100
581909.63,3868420.05,34.95759107,24.8987757,100
581247.44,3868462.92,34.95803105,24.89152778,70
575434,3868487,34.95869881,24.82786186,108
579972,3868495,34.95842202,24.87756252,20
574795,3868520,34.95904386,24.82086647,40
582240.29,3868534.4,34.95859524,24.90240828,100
578587,3868537,34.95890936,24.86239813,4
584599,3868596,34.95895597,24.92824654,20
578537,3868617,34.95963456,24.86185809,31
