latitude,longitude,PM25_ugm3,NO2_ppb,O3_ppb
40.57490308999481,-74.18058161231657,10.2,18.1,22.8
40.5948271554977,-74.10376722606256,19.7,26.4,31.2
40.95148057640644,-74.0358808265998,11.8,11.9,23.0
40.95926868331657,-74.09524918120924,12.2,11.5,22.4
40.960296050966924,-73.84375009994477,11.3,9.5,25.9
40.74853776898547,-73.81769753855666,23.0,25.8,45.9
40.76260349959275,-74.06287131617343,34.8,37.4,37.2
40.519962539623144,-73.80511181246989,12.3,14.1,29.5
40.86781186589935,-73.8347073331607,12.3,15.8,38.4
40.57873205255919,-73.92779181908945,17.8,18.8,36.0
40.95832177357565,-74.24583349760888,9.9,11.8,22.6
40.73911606151394,-73.95953068445554,43.2,44.7,44.3
40.682184146095054,-74.2404209765875,13.3,18.3,23.0
40.506296596701546,-73.79861615565501,10.6,14.1,27.7
40.68198142255495,-74.06997556636766,31.0,39.4,34.7
40.8992221225553,-74.09957951725941,15.0,16.8,22.7
40.66841122480823,-73.97089252441047,35.2,41.5,41.6
40.8344326225244,-73.81635072702733,16.1,20.4,41.0
40.57197264864599,-73.99401639474517,20.6,17.0,33.7
40.898364531594844,-74.12175236643053,15.6,19.2,24.0
40.739108469229016,-73.86672039592706,29.4,29.2,45.4
40.55964149911818,-74.12463605869179,10.8,21.6,30.7
40.678693993194315,-74.03162351389109,37.5,44.4,38.4
40.8400040413667,-74.23308651471989,14.1,14.5,24.5
40.69511050487835,-73.9415055505049,36.3,38.4,45.0
40.604406583167886,-73.89157102923816,21.8,21.1,40.9
40.90390421174511,-73.87720692199787,15.5,13.6,31.1
40.634693411969245,-73.97941386170564,27.8,33.8,40.3
40.92151718051571,-74.08596483860745,11.6,14.5,21.5
40.86600728014801,-73.884308553138,13.4,22.4,36.3
40.65612365781057,-74.21862519437009,14.7,15.2,25.5
40.54726758854695,-73.78906361809112,9.7,10.8,30.4
40.551240733828834,-73.76937780534404,8.5,14.8,30.7
40.47687510967427,-74.05636579059865,8.4,9.7,22.7
40.48167736378447,-74.03899565626888,11.7,13.0,28.1
40.624577637177445,-73.83815976546713,22.0,18.5,42.4
40.51332195023681,-73.95995862093397,12.5,12.7,29.8
40.72759279133351,-74.12558686318714,28.9,35.3,28.9
40.66739541734062,-73.86642977357586,27.7,34.9,47.8
40.50003805264688,-74.02853357186608,10.3,14.6,29.4
40.71080817394657,-73.99105201348958,41.8,46.1,46.1
40.79028544660234,-74.02222159482002,34.2,37.7,37.8
40.64272160405782,-74.07930919304006,28.8,30.7,33.7
40.5647549951907,-74.030234999768,17.2,20.1,32.2
40.85890043217614,-73.78581668319022,14.2,18.1,33.8
40.79419447646096,-73.7725434612018,13.2,17.4,40.5
40.90563929643019,-73.81063556062125,11.7,18.3,29.4
40.87867455281081,-73.98807499501198,18.6,20.7,31.6
40.915493467464614,-73.81932169151197,12.9,14.4,30.4
40.73828493423438,-74.0521550791428,38.9,42.5,39.4
40.57842974787926,-73.96313979387894,22.3,20.4,34.5
40.935703982478366,-73.75928396067415,10.4,7.7,24.4
40.600600030443616,-73.76378513583413,13.8,16.5,33.3
40.63357054185176,-74.10226178288791,22.4,30.7,29.2
40.60173180232048,-73.85909097622458,18.8,19.3,41.7
40.899958178202176,-74.06731954575632,14.9,16.9,26.7
40.6065062693831,-74.25208783206622,10.5,12.4,23.6
40.49165743235652,-73.82790572527172,11.0,13.8,28.3
40.55036805085924,-73.81824528373713,12.2,13.7,38.1
40.61541946078864,-74.14610023008707,19.8,20.5,28.1
40.91031949101628,-73.97500264247378,14.4,18.2,31.2
40.57256639867005,-73.89612402842978,17.3,19.3,36.7
40.5420097999137,-73.77052104514257,11.2,13.2,31.3
40.697242639741006,-74.13217942987299,28.5,31.7,30.9
40.90805198017154,-74.18698142632465,11.1,12.3,18.7
40.840734703352275,-74.12134022262943,19.1,19.3,29.4
40.86183951642257,-74.16842485116592,11.9,16.6,23.5
40.8562434723678,-73.93500911177982,21.1,26.4,38.0
40.68290235963472,-73.83730541131666,25.3,22.2,42.2
40.77028925089121,-74.2403255626985,13.9,18.6,23.3
40.88596057327943,-74.22522978595183,11.5,8.9,23.0
40.668091562320086,-73.7639063144014,16.1,19.1,40.8
40.55254391288523,-74.18530170062006,9.7,13.8,25.4
40.70200497267016,-73.82106759754865,22.7,23.7,44.3
40.855702438372354,-73.77853571544775,14.7,17.7,36.8
40.76151827649647,-74.25104016618927,13.2,14.9,22.3
40.64947104159957,-74.2236744831664,13.9,14.0,20.6
40.59387415935856,-74.09149448977777,16.5,22.8,28.6
40.611182477933596,-73.98320583321835,22.1,26.6,38.0
40.67220832602372,-74.1180639678664,27.6,28.0,29.8
40.898497328858504,-74.05633872888419,14.2,14.8,25.4
40.683087844249904,-73.82815102488973,22.5,26.4,42.9
40.88699908731074,-73.96542426222636,19.0,19.8,34.2
40.70608620035795,-74.13714149035704,26.9,27.7,30.7
40.58578450751557,-74.03162218599536,23.1,22.4,35.9
40.927233180822014,-74.08636714292334,13.4,14.5,19.3
40.83222337126015,-73.79982083435645,16.1,18.8,40.8
40.957057382338846,-73.80166125314985,11.0,15.9,26.7
40.59497638673871,-74.23627759253213,12.4,14.1,22.6
40.903247303778045,-74.03370055084825,13.5,16.6,26.3
40.73262513093952,-73.97483894327603,36.0,45.6,43.9
40.66443313578095,-74.12593283368952,24.0,29.6,30.8
